|3130000000|20190117_ah_01|zs|4|||2019-01-17|||107001|||||||
|3130000002|20190121_ah_01|zs|4|||2019-01-21|||107001|||||||
|3130000003|TA:123|zs|4|||2019-01-21|||107545|||||||
|3130000005|test klaudia 21.01.2019|zs|4|||2019-01-21|||4100|||||||
|3130000006|ta 568|zs|4|||2019-01-21|||117077|||||||
|3130000008|ta 897|zs|4|||2019-01-21|||117009|||||||
|3130000009|TA 12156|zs|4|||2019-01-21|||117037|||||||
|3130000010|test klaudia szwajcaria 1|zs|4|||2019-01-21|||100800|||||||
|3130000011|ta 987|zs|4|||2019-01-21|||118619|||||||
|3130000012|klaudia test szwajcaria 2|zs|4|||2019-01-21|||100800|||||||
|3130000013|szwajcaria klaudia test 3|zs|4|||2019-01-21|||100800|||||||
|3130000014|ta 123|zs|4|||2019-01-21|||117171|||||||
|3130000015|ta 258|zs|4|||2019-01-21|||117171|||||||
|3130000016|takkj|zs|4|||2019-01-21|||117235|||||||
|3130000017|1223464kl|zs|4|||2019-01-21|||103977|||||||
|3130000018|posrs|zs|4|||2019-01-21|||117113|||||||
|3130000019|ta 741|zs|4|||2019-01-21|||117235|||||||
|3130000021|lorowicz|zs|4|||2019-01-21|||4100|||||||
|3130000022|tatat|zs|4|||2019-01-21|||117486|||||||
|3130000023|trrr|zs|4|||2019-01-21|||117486|||||||
|3130000024|20190121_ah_02|zs|4|||2019-01-21|||107001|||||||
|3130000025|Test Auslieferung WST 1|zs|4|||2019-01-21|||117043|||||||
|3130000026|20190121_ah_03|zs|4|||2019-01-21|||107001|||||||
|3130000027|Test Auslieferung WST 2|zs|4|||2019-01-21|||117038|||||||
|3130000028|Test Auslieferung WST 3|zs|4|||2019-01-21|||117056|||||||
|3130000029|20190121_ah_04|zs|4|||2019-01-21|||107001|||||||
|3130000030|20190121_ah_05|zs|4|||2019-01-21|||107001|||||||
|3130000031|Test Auslieferung WST 4|zs|4|||2019-01-21|||100800|||||||
