|107033|||MIEJSKIE WODOCIĄGI I|OCZYSZCZALNIA SP. Z O.O.|ul. Mickiewicza 28/30||PL|86-300|GRUDZIĄDZ|C|||
|107034|||Toruńskie Wodociągi Sp. z o.o.||ul. Rybaki 31/35||PL|87-100|TORUŃ|C|||
|107035|||SEWIK Tatrzańska Komunalna|Grupa Kapitałowa Sp. z o.o.|ul. Kasprowicza 35 C||PL|34-500|ZAKOPANE|C|0605312965||
|107036|||N.T.I. SP. Z O.O.||UL. PORTOWA 1||PL|67-200|GŁOGÓW|C|076/8353593||
|107037|||Przedsiębiorstwo Obrotu Hurtowego W|spółka z ograniczoną odpowiedzialno|||PL|43-391|MAZAŃCOWICE|C|033/8156119||
|107038|||Wodociągi Jaworzno Sp. z o.o.||ul. Świętego Wojciecha 34||PL|43-600|JAWORZNO|C|||
|107039|||WODOCIĄGI USTKA SPÓŁKA Z O.O.||ul. Ogrodowa 14||PL|76-270|USTKA|C|||
|107040|||MIEJSKIE WODOCIĄGI I|KANALIZACJA W PILE SPÓŁKA Z O.O.|ul. Chopina 2||PL|64-920|PIŁA|C|0672119158||
|107041|||AQUA S.A.||ul. 1 Maja 23||PL|43-300|BIELSKO-BIAŁA|C|033/8280200||
|107042|||"PPHU ""SANGAZ"" Waldemar Pacud"||Ul. Ikara 288||PL|42-221|CZĘSTOCHOWA|C|||
|107043|||Miejskie Przedsiębiorstwo|Wodociągów i Kanalizacji|ul. Kościuszki 140||PL|42-500|BĘDZIN|C|||
|107044|||Miejskie Przedsiębiorstwo|Wodociągów i Kanalizacji|ul. Bracka 66||PL|34-300|ŻYWIEC|C|033/8610199||
|107045|||Śremskie Wodociągi Sp. z o.o.||ul. Parkowa 8||PL|63-100|ŚREM|C|||
|107046|||Przedsiębiorstwo Wodociągów|i Kanalizacji Spółka z o.o.|ul. Marklowicka 15||PL|44-300|WODZISŁAW ŚLĄSKI|C|||
|107047|||AQUA Grupa SBS Sp. z o.o.||ul. Skłodowskiej 25||PL|65-124|ZIELONA GÓRA|C|68/45-67-672||
|107048|||Wodociągi i Kanalizacja|w Opolu Spółka z o.o.|ul. Oleska 64||PL|45-222|OPOLE|C|||
|107049|||PipeLife Polska Spółka z o.o.||ul.Michała Spisaka 31||PL|02-495|WARSZAWA|C|||
|107050|||KGHM Polska Miedź S.A. Oddział|Huta Miedzi Głogów w Głogowie|ul. Żukowicka 1||PL|67-231|ŻUKOWICE|C|||
|107052|||"""SPEDBUD"" Roman Falkowski"|Ireneusz Wojciechowski|ul. Orłowska 82||PL|88-100|INOWROCŁAW|C|052/357-17-40||
|107053|||Rejonowe Przedsiębiorstwo|Wodociągów i Kanalizacji|ul.Jagiellońska 8||PL|32-500|CHRZANÓW|C|||
|107054|||PRZEDSIĘBIORSTWO WODOCIĄGÓW I|KANALIZACJI W BRZEGU SP. Z O.O|ul. Wolności 15||PL|49-300|BRZEG|C|077/4162244||
|107055|||Przedsiębiorstwo Inżynieryjne|PRESS S.A.|ul.Piaskowa 7||PL|16-400|SUWAŁKI|C|||
|107056|||"Zakład Wielobranżowy""KRYZA-PLAST"|Henryk Kamiński|ul.Fitelberga 54||PL|43-195|MIKOŁÓW-MOKRE|C|(32) 322 61 31||
|107057|||GAZOPOL LTD PRZEDSIEBIORSTWO|INWESTYCYJNO USŁUGOWE|UL. MORSKA 49||PL|75-215|KOSZALIN|C|094/343-27-91||
|107058|||Bytomskie Przedsiębiorstwo|Komunalne Spółka z o.o.|Plac Kościuszki 11||PL|41-902|BYTOM|C|||
|107059|||Legnickie Przedsiebiorstwo|Wodociągów i Kanalizacji S.A.|ul.Nowodworska 1||PL|59-220|LEGNICA|C|||
|107060|||SAUR NEPTUN GDAŃSK S.A.||ul. Wałowa 46||PL|80-858|GDAŃSK|C|||
|107061|||Zakład Wodociągów i|Kanalizacji Spółka z o.o.|ul. Piaskowa 6||PL|78-520|ZŁOCIENIEC|C|||
|107062|||PPHU GAMART SA||ul.Towarowa 29||PL|38-200|JASŁO|C|||
|107063|||Tarnobrzeskie Wodociągi Sp. z o.o.||ul. Wiślna 1||PL|39-400|TARNOBRZEG|C|||
|107064|||Miejskie Wodociągi i|Kanalizacja w Kędzierzynie|ul.Filtrowa 14||PL|47-200|KĘDZIERZYN-KOŹLE|C|774801316||
|107065|||Przedsiębiorstwo FERRBUD|Sp. z o.o.|ul. Połonińska 20||PL|35-082|RZESZÓW|C|(17) 86 40 500||
|107066|||Zakład Robót Wodno-|Kanalizacyjnych Jan Pieniążek|Gorliczyna 97||PL|37-200|PRZEWORSK|C|||
|107067|||Przedsiębiorstwo Budowlane|"""WAWRZYNIAK"""|ul.Gen.Sikorskiego 41 b||PL|63-500|OSTRZESZÓW|C|607106107||
|107068|||Miejskie Wodociągi i|Kanalizacja w Bydgoszczy - Spółka z|ul.Toruńska 103||PL|85-817|BYDGOSZCZ|C|||
|107069|||"P.R.U.H. ""ARMA-POL"" Stanisław"|Kulka Robert Płotnicki|ul.Nosala 1||PL|32-620|BRZESZCZE|C|||
|107070|||PIPELIFE POLSKA S.A.||UL. TORFOWA 4, KARTOSZ||PL|84-110|KROKOWA|C|058/7748479||
|107071|||Przedsiębiorstwo Wodociągów|i Kanalizacji Sp. z o.o.|ul.Ostatni Etap 6||PL|32-603|OŚWIĘCIM|C|||
|107072|||AKWEDUKT SP. z o. o.||UL. SANDOMIERSKA 105||PL|25-324|KIELCE|C|||
|107073|||ROWIBUD Spółka z o.o.||ul.Daszyńskiego 308||PL|44-151|GLIWICE|C|||
|107074|||Przedsiębiorstwo Budowlane|"M.Wawrzyniak"""|ul.Gen. Sikorskiego 41 b||PL|63-500|OSTRZESZÓW|C|62/730-24-84||
|107075|||WUPRINŻ Spółka Akcyjna||UL. STRAŻY LUDOWEJ 35||PL|60-465|POZNAŃ|C|61/656 58 10||
|107076|||Hurtownia Artykułów|Przemysłowych MATERBUD S.C.|ul.Zaplecze 2A||PL|41-303|DĄBROWA GÓRNICZA|C|||
|107077|||AQUA - GAS SP.Z O.O.||UL. INŻYNIERSKA 8A||PL|20-484|LUBLIN|C|0814415875||
|107078|||Przedsiębiorstwo Produkcyjno|Usługowo Handlowe HYDROBUD|ul. Targowa 26 B||PL|07-412|OSTROŁĘKA|C|029-760-3119||
|107079|||"Firma Handlowo-Usługowa""TAD-BU"|"D"" Tadeusz Szepielak"|ul. Krakowska 1||PL|33-113|ZGŁOBICE, ZBYLITOWSKA GÓRA|C|||
|107080|||MIEJSKIE PRZEDSIĘBIORSTWO|WODOCIĄGÓW I KANALIZACJI|ul.Zjazd 23||PL|18-400|ŁOMŻA|C|(086)216-62-79||
|107081|||Przedsiębiorstwo Produkcyjno-|Usługowo-Handlowe TECHNOSAN|UL. ELEWATORSKA 7||PL|15-641|BIAŁYSTOK|C|||
|107082|||Przedsiębiorstwo Wodociągów i|Kanalizacji Sp. z o.o.|ul. Obwodowa 6||PL|11-500|GIŻYCKO|C|||
|107083|||Przedsiębiorstwo Wodociągów i|Kanalizacji Spółka z o.o.|ul. Witomińska 29||PL|81-311|GDYNIA|C|||
|107084|||Grupa LOTOS SA||ul.Elbląska 135||PL|80-718|GDAŃSK|C|||
|107085|||PRZEDSIĘBIORSTWO REMONTOWE|"""PAK SERWIS"" SP. Z O.O."|UL. PRZEMYSŁOWA 158||PL|62-510|KONIN|C|063/247 36 84||
|107086|||KANWA Spółka z o.o. Spółka k.||ul. Balicka 100||PL|30-950|KRAKÓW|C|(012) 637 24 44||
|107087|||Miejski Zakład Komunalny|Spółka z o.o.|ul. Komunalna 1||PL|37-450|STALOWA WOLA|C|(15) 842 34 11||
|107088|||INSTALBUD JANOSZ Sp. z o.o.||ul.Bielska 31 B||PL|43-200|PSZCZYNA|C|||
|107089|||ZESPÓŁ ELEKTROWNI PĄTNÓW|ADAMÓW-KONIN S.A.|UL. KAZIMIERSKA 45||PL|62-510|KONIN|C|63/247-32-22||
|107090|||Przedsiębiorstwo Produkcyjno-|"Usługowo-Handlowe ""ANKAMA"""|ul.K.Szajnochy 19||PL|85-738|BYDGOSZCZ|C|||
|107091|||PRZEDSIĘBIORSTWO USŁUGOWO|"-ZAOPATRZENIOWE ""MAR-TER"""|ul.KAZAŃSKA 6/31||PL|18-400|ŁOMŻA|C|086/218-51-83||
|107092|||Przedsiębiorstwo Robót|"Inżynieryjnych ""CENTRUM"""|ul.Chrobrego 76||PL|80-423|GDAŃSK|C|||
|107093|||TKS Sp. zo.o.||ul.T. Boya-Żeleńskiego 111||PL|40-750|KATOWICE|C|||
|107094|||Tarnowskie Wodociągi Sp z o.o.||ul.Narutowicza 37||PL|33-100|TARNÓW|C|(14) 621 11 11||
|107095|||Przedsiębiorstwo Wodociągów|i Kanalizacji Sp. z o.o.|ul.Pokoju 13||PL|41-709|RUDA ŚLĄSKA|C|||
|107096|||ZAKŁAD WODOCIĄGOW I KANALIZACJ|W ŚWIECIU SP. Z O.O.|ul. Parkowa 3||PL|86-100|ŚWIECIE|C|052 332 45 96/98||
|107097|||FIRMA HANDLOWA KOLANKO Spółka|Jawna Marek Papierski Janusz|ul.Oliwska 72||PL|80-209|CHWASZCZYNO|C|||
|107098|||WODOCIAGI KEPINSKIE SP. Z O.O.||UL. WROCŁAWSKA 28||PL|63-600|KĘPNO|C|||
|107099|||INSTAL INŻYNIERIA PRZEMYSŁOWA|Sp. z o.o.|ul.Korczaka 76||PL|40-338|KATOWICE|C|||
|107100|||Zabrzańskie Przedsiębiorstwo|Wodociągów i Kanalizacji|ul.Wolności 215||PL|41-800|ZABRZE|C|||
|107101|||"""ARGOT"""|Grzegorz Tkaczyk|Ul.Tadeusza Rejtana 63||PL|42-200|CZĘSTOCHOWA|C|||
|107102|||Eugeniusz Szepielak Zakład Usługowo|"""Instalbud-Szepielak"""|ul. Ks.St.Kędronia 5||PL|33-111|KOSZYCE WIELKIE K/TARNOWA|C|||
|107103|||WODOCIAG MARECKI SP. Z O.O.||ul.Żeromskiego 30||PL|05-270|MARKI|C|||
|107104|||MELBUD S.A.||ul.Składowa 4||PL|86-300|GRUDZIĄDZ|C|56/46-400-94||
|107105|||WAMAR SP. Z O.O.||UL. POGODNA 22||PL|15-354|BIAŁYSTOK|C|||
|107106|||MDK PRZEDSIEBIORSTWO HANDLOWE|DUBIŃSKI MIROSŁAW|UL. KRĘTA 7||PL|15-336|BIAŁYSTOK|C|||
|107107|||Hurtownia Materiałów Instala|"cyjnych""PROFIT-INSTAL"" S.J."|UL.Chorzowska 30 C||PL|44-100|GLIWICE|C|||
|107109|||MPWiK S.A.||ul. Na Grobli 14/16||PL|50-421|WROCŁAW|C|||
|107110|||EMET-IMPEX Przedsiębiorstwo|Handlu Hurtowego Pompami i|ul.Starołęcka 18||PL|61-361|POZNAŃ|C|||
|107111|||Wodociągi Ziemi Cieszyńskiej|Spółka z o.o.|ul. Myśliwska 10||PL|43-450|USTROŃ|C|||
|107112|||WODOCIĄGI KIELECKIE SP. Z O.O.||ul. Krakowska 64||PL|25-701|KIELCE|C|||
|107113|||WODOCIĄGI PŁOCKIE SP. Z O.O.||ul. Harcerza Gradowskiego 11||PL|09-402|PŁOCK|C|||
|107114|||"Przedsiębiorstwo Robót Inżynieryjn||UL. Adama Branickiego 15||PL|02-972|Warszawa|C|||
|107115|||"PPUH ""BUDAMEX"" s.j."|M.Mironowicz i A.Turowski|ul. Puchatka 11||PL|15-505|BIAŁYSTOK|C|85/652-55-22||
|107116|||Zambrowskie Ciepłownictwo i|Wodociągi Sp. z o.o.|ul. Papieża Jana Pawła II 5||PL|18-300|ZAMBRÓW|C|||
|107117|||Rejonowe Przedsiębiorstwo|Wodociągów i Kanalizacji|ul. 11 Listopada 2||PL|42-400|ZAWIERCIE|C|||
|107118|||Przedsiębiorstwo Usługowo-Prod|"ukcyjne ""Eltur-Serwis"" Spółka"|UL. MŁODYCH ENERGETYKÓW 12||PL|59-916|BOGATYNIA|C|757723243||
|107119|||PRZEDSIĘBIORSTWO INSTALACYJNE|"""PRIM"" S.A."|UL. SUWALSKA 85||PL|19-300|EŁK|C|||
|107120|||"PHU ""RABA"" Spółka Jawna"|R.Bartoszewicz, L.Radzaj|ul.Kolejowa 10||PL|16-420|RACZKI|C|||
|107121|||P.P.H.U. KOŁBUD|Krzysztof Białczak|Konarzyce ul.Łomżyńska 14||PL|18-400|Łomża|C|||
|107122|||PRZEDSIĘBIORSTWO WIELOBRANŻOWE|ZIEJA|ul. Fabryczna 9||PL|18-400|Łomża|C|||
|107123|||Przedsiębiorstwo Robót Wodno-|Inżynieryjnych MELWOBUD Spółka|ul. Niechodzka 7||PL|06-400|CIECHANÓW|C|||
|107124|||Biuro Techniczno Handlowe ARMA-TECH|P.Zając, M.Kowalewski S.J.|Borkowo, ul. Akacjowa 23B||PL|80-180|GDAŃSK|C|58/321 94 94||
|107125|||Przedsiębiorstwo Usługowo-|Handlowe TAKO Spółka z o.o.|Ul.Pełczyńska 8||PL|51-180|WROCŁAW|C|||
|107126|||"""HYDROKOM-śWIECIE"""|Przedsiębiorstwo-Kanalizacyjno|ul.Bydgoska 1||PL|86-100|ŚWIECIE|C|||
|107127|||TAPI Przedsiębiorstwo|Instalacyjne Spółka z o.o.|ul. Do Studzienki 28||PL|80-227|GDAŃSK|C|||
|107128|||Przedsiębiorstwo Wodociągów|i Kanalizacji Sp. z o.o.|ul.Arki Bożka 25||PL|41-902|BYTOM|C|||
|107129|||"""Wodociągi Kłodzkie"" Spółka"|z o.o.|ul. Piastowska 14 B||PL|57-300|KŁODZKO|C|||
|107130|||Przedsiębiorstwo Produkcyjno-|"Handlowo-Usługowe""WODPLAST"""|ul.Krakowska 532||PL|43-300|BIELSKO-BIAŁA|C|||
|107131|||Przedsiębiorstwo Gospodarki|Komunalnej i Mieszkaniowej|ul.Leśna 1||PL|39-460|NOWA DĘBA|C|15/8462641||
|107132|||"""TEKS"" Kaczmarek, Tatara Sp. J"||ul. Rzemieślnicza 1||PL|41-400|MYSŁOWICE|C|(32)2225068||
|107133|||AWAS Systemy sp. z o.o||ul.K.Szpotańskiego 10||PL|04-760|WARSZAWA|C|022 615-51-13||
|107134|||Firma - HAŁAS Krzysztof Hałas||ul. Dekana 6F||PL|64-100|LESZNO|C|655268725||
|107135|||Zakład Wodociągów|i Kanalizacji Sp. z o.o.|ul. Okrzei 140||PL|42-300|MYSZKÓW|C|||
|107136|||"""EBRO-TRADE"" Spółka z o.o."||ul. Bajna 3||PL|01-904|WARSZAWA|C|22/669-12-70||
|107137|||PREDOMEX Sp.z o.o.||ul. Braniborska 58-68||PL|53-680|WROCŁAW|C|071/344-30-77||
|107138|||BWT Polska Sp z o.o.||ul.Połczyńska 116||PL|01-304|WARSZAWA|C|||
|107139|||Przedsiębiorstwo Robót Inżynieryjny|i Drogowych w Krośnie|ul.Grodzka 26||PL|38-400|KROSNO|C|(013)43-215-89||
|107140|||Przedsiębiorstwo Wodociągów|i Kanalizacji Sp. z o.o.|ul. Rokitniańska 4||PL|37-700|PRZEMYŚL|C|(016)678-32-59||
|107142|||Przedsiębiorstwo Gospodarki|Komunalnej Sp. z o.o.|ul. Berzyna 6||PL|64-200|WOLSZTYN|C|68/384-25-25||
|107143|||Miejskie Przedsiębiorstwo Gosp|odarki Komunalnej Sp. z o.o.|ul. Fredry 12||PL|38-400|KROSNO|C|(13)436-83-11||
|107144|||SEEN Technologie Sp. z o.o.||ul. Siennicka 29||PL|04-394|WARSZAWA|C|0224608899||
|107145|||Zakład Wodociągów,Kanalizacji i|"Oczyszczalnia Ścieków ""WOD-KAN"""|ul.PŁOCKA 106||PL|06-500|MŁAWA|C|501-268-923||
|107146|||ONNINEN SPÓŁKA ZOO||ul. EMALIOWA 28||PL|02-295|WARSZAWA|C|022/567-90-92||
|107147|||BUDIMEX Olsztyn S.A.||Ul. M. Zientary-Malewskiej 65||PL|10-310|OLSZTYN|C|||
|107148|||VINSAR S.A.||ul. Popielskiego 1||PL|52-019|WROCŁAW|C|||
|107149|||Przedsiębiorstwo Wodociągów|i Kanalizacji w Nowym Tomyślu|ul. Targowa 8||PL|64-300|NOWY TOMYŚL|C|61/44-22-080||
|107150|||Przedsiębiorstwo Wielobranżowe|ANIREX Robert Sumiński|ul. Chorzowska 3||PL|26-600|RADOM|C|048/385-08-63||
|107151|||Sanockie Przedsiębiorstwo|Gospodarki Komunalnej Spółka|ul.Jana Pawła II 59||PL|38-500|SANOK|C|||
|107152|||Przedsiębiorstwo Ekolobud S.A.||ul. Przytorowa 9||PL|16-400|SUWAŁKI|C|||
|107153|||Przedsiębiorstwo Wodociągów|i Kanalizacji Sp. z o.o.|ul. Miłosławska 8||PL|62-300|WRZEŚNIA|C|436-26-57||
|107154|||Przedsiębiorstwo-Produkcyjno-|Handlowo-Usługowe|ul. Komorowicka 43 a||PL|43-300|BIELSKO-BIAŁA|C|33/815-07-49||
|107155|||Kompania Węglowa S.A.|"Zakład Górniczy ""Piekary"""|ul. Powstańców 30||PL|41-949|PIEKARY ŚLĄSKIE|C|||
|107156|||Ecol-Unicon Spółka z o.o.||ul. Równa 2||PL|80-067|GDAŃSK|C|||
|107157|||PUH ELPAD Grzesiowski|i wspólnicy spółka jawna|ul. Łęczycka 29||PL|82-300|ELBLĄG|C|||
|107158|||Przedsiębiorstwo Robót|Inżynieryjno- Monterskich|ul. Nowa 30 J||PL|37-400|NISKO|C|(15)84 12 038||
|107159|||Miejskie Przedsiębiorstwo Gospodark|Spółka z o.o.|ul. Kraszewskiego 37||PL|33-380|KRYNICA ZDRÓJ|C|||
|107160|||KB POMORZE Sp. z o.o.||ul. Sienna 50||PL|80-605|GDAŃSK|C|58/343-23-20||
|107161|||Miejskie Przedsiębiorstwo|Wodociągów i Kanalizacji w|PL.Starynkiewicza 5||PL|02-015|WARSZAWA|C|||
|107162|||"P.P.H.U ""Budren"" Kwapisz"|Władysław|ul. Armii Krajowej 25||PL|40-330|JASTRZĘBIE ZDRÓJ|C|||
|107163|||ARMA POMP Grzegorz Marzec||ul.Strzelców Bytomskich 165 a||PL|41-914|Bytom|C|(32) 340 59 18||
|107164|||Miejskie Wodociągi i|Kanalizacja Sp. z o.o.|ul. Artyleryjska 3||PL|78-100|KOŁOBRZEG|C|94/35-23-292||
|107165|||Górnośląski Zakład Obsługi|Gazownictwa Sp. z o.o.|ul. Pyskowicka 31||PL|41-807|ZABRZE|C|(32)376 19 70||
|107166|||Prochem S.A||ul.Powązkowska 44c||PL|01-797|WARSZAWA|C|||
|107167|||Przedsiębiorstwo Wodociągów|i Kanalizacji okręgu Częstocho|ul. Jaskrowska 14/ 20||PL|42-202|CZĘSTOCHOWA|C|(34)324-70-20||
|107168|||MPWiK Sp. z o.o.||ul. Naruszewicza 18||PL|35-055|RZESZÓW|C|||
|107169|||Wielkopolskie Przedsiębiorstwo|Handlowe ELMET S.A.|ul. Obodrzycka 67||PL|61-249|POZNAŃ|C|852-80-31||
|107170|||Zakład Wodociągów i Kanalizacji Sp.||ul. Cegielniana 4||PL|05-825|GRODZISK MAZOWIECKI|C|22/755-61-77||
|107171|||TANDEM Sp. z o.o.||ul. Lotników Alianckich 33||PL|68-100|Żagań|C|68/363-89-72||
|107172|||"""PWiK"" Sp.zoo"||ul. Suwalska 64||PL|19-300|EŁK|C|87/610-3670||
|107173|||AKWA-TERMA WROCŁAW Spółka z ograni|odpowiedzialnością Spółka Komandyto|ul. Piękna 74||PL|50-506|WROCŁAW|C|71/336-66-53||
|107174|||GRAMI Leszek Mirkowski||Konarzyce, ul. Malinowa 16||PL|18-404|ŁOMŻA|C|86/473-74-12||
|107175|||Warsztat Wod- Kan|Grabka Maciej|ul. Konopnickiej 33||PL|43-190|MIKOŁÓW|C|||
|107176|||WAMAR Sp. j.|Cwalina, Świderski|ul. Składowa 10||PL|15-399|BIAŁYSTOK|C|085/745-57-26||
|107177|||Przedsiębiorstwo Budownictwa|"Mieszkaniowego""INSTALBUD"""|ul. Boya- Żeleńskiego 6A||PL|35-105|RZESZÓW|C|(17)854 11 25||
|107178|||Miejskie Przedsiębiorstwo|Wodociągów i Kanalizacji|ul. Królewska 15||PL|98-220|ZDUŃSKA WOLA|C|43/823-31-97||
|107179|||Marian Pelc||ul. Krasickiego 7/28||PL|41-600|ŚWIĘTOCHŁOWICE|C|||
|107180|||Przedsiębiorstwo Wodociągów i|Kanalizacji Spółka z o.o.|ul.Powstańców 13||PL|41-300|DĄBROWA GÓRNICZA|C|||
|107181|||PUH JUSGAZ|Radosław Szlichta|ul. Rynek 36||PL|27-660|KOPRZYWNICA|C|015/847-61-48||
|107182|||Przedsiębiorstwo Instalacyjno-|Budowlane BCJ, A.Błyskal,|ul. Piekarska 12||PL|39-400|TARNOBRZEG|C|||
|107183|||"P.H.U. ""NOW- PLAST"""|Marzena Nowakowska|ul. Wojska Polskiego 12 B||PL|43-603|JAWORZNO|C|||
|107184|||AQUA- SYSTEM Spółka z|ograniczoną odpowiedzialnością|ul. Wincentego Witosa 118||PL|43-300|BIELSKO-BIAŁA|C|(33)815 10 36||
|107185|||"""MAT-BUD"" Spółka Jawna"|Hurtownia Materiałów Budowlanych|ul.Dąbrowskiego 147||PL|84-232|RUMIA|C|||
|107186|||Gmina Miejska Słupca||ul. Pułaskiego 21||PL|62-400|SŁUPCA|C|63/275-17-60||
|107187|||KGHM Polska Miedź S.A.|Oddział Zakłady Górnicze Lubin|ul. M.Skłodowskiej-Curie 48||PL|59-301|LUBIN|C|76/849-55-36||
